ticker,date,open,high,low,close,adj_close,volume,fetched_at
AAPL,2025-12-01,278.1499938964844,283.4100036621094,276.1400146484375,283.1000061035156,283.1000061035156,45533784,2025-12-02T12:58:59.165853+00:00
AAPL,2025-12-02,,,,,,,2025-12-02T12:58:59.165853+00:00
AMZN,2025-12-01,233.21499633789062,235.7969970703125,232.25,233.8800048828125,233.8800048828125,38020665,2025-12-02T12:58:59.165853+00:00
AMZN,2025-12-02,,,,,,,2025-12-02T12:58:59.165853+00:00
GOOGL,2025-12-01,317.70001220703125,319.8500061035156,313.8900146484375,314.8900146484375,314.8900146484375,39487927,2025-12-02T12:58:59.165853+00:00
GOOGL,2025-12-02,,,,,,,2025-12-02T12:58:59.165853+00:00
META,2025-12-01,639.5449829101562,645.2949829101562,637.760009765625,640.8699951171875,640.8699951171875,11911733,2025-12-02T12:58:59.165853+00:00
META,2025-12-02,,,,,,,2025-12-02T12:58:59.165853+00:00
MSFT,2025-12-01,487.9599914550781,489.8598937988281,484.6474914550781,486.739990234375,486.739990234375,22886734,2025-12-02T12:58:59.165853+00:00
MSFT,2025-12-02,,,,,,,2025-12-02T12:58:59.165853+00:00
NVDA,2025-12-01,174.6999969482422,180.3000030517578,173.67999267578125,179.9199981689453,179.9199981689453,184609468,2025-12-02T12:58:59.165853+00:00
NVDA,2025-12-02,,,,,,,2025-12-02T12:58:59.165853+00:00
TSLA,2025-12-01,425.3500061035156,433.659912109375,425.29998779296875,430.1400146484375,430.1400146484375,55108087,2025-12-02T12:58:59.165853+00:00
TSLA,2025-12-02,,,,,,,2025-12-02T12:58:59.165853+00:00
^IXIC,2025-12-01,23172.341796875,23363.849609375,23110.20703125,23275.921875,23275.921875,6943420000,2025-12-02T12:58:59.165853+00:00
^IXIC,2025-12-02,,,,,,,2025-12-02T12:58:59.165853+00:00
^NDXE,2025-12-01,8567.8974609375,8643.1181640625,8560.712890625,8593.927734375,8593.927734375,0,2025-12-02T12:58:59.165853+00:00
^NDXE,2025-12-02,,,,,,,2025-12-02T12:58:59.165853+00:00
^VIX,2025-12-01,,,,,,,2025-12-02T12:58:59.165853+00:00
^VIX,2025-12-02,17.280000686645508,17.290000915527344,16.65999984741211,16.84000015258789,16.84000015258789,0,2025-12-02T12:58:59.165853+00:00
