ticker,date,open,high,low,close,adj_close,volume,fetched_at
AAPL,2025-12-08,,,,,,,2025-12-08T14:00:16.717286+00:00
AMZN,2025-12-08,,,,,,,2025-12-08T14:00:16.717286+00:00
GOOGL,2025-12-08,,,,,,,2025-12-08T14:00:16.717286+00:00
META,2025-12-08,,,,,,,2025-12-08T14:00:16.717286+00:00
MSFT,2025-12-08,,,,,,,2025-12-08T14:00:16.717286+00:00
NVDA,2025-12-08,,,,,,,2025-12-08T14:00:16.717286+00:00
TSLA,2025-12-08,,,,,,,2025-12-08T14:00:16.717286+00:00
^IXIC,2025-12-08,,,,,,,2025-12-08T14:00:16.717286+00:00
^NDX,2025-12-08,,,,,,,2025-12-08T14:00:16.717286+00:00
^NDXE,2025-12-08,,,,,,,2025-12-08T14:00:16.717286+00:00
^VIX,2025-12-08,16.149999618530273,16.389999389648438,16.100000381469727,16.309999465942383,16.309999465942383,0,2025-12-08T14:00:16.717286+00:00
