ticker,date,open,high,low,close,adj_close,volume,fetched_at
AAPL,2025-12-01,,,,,,,2025-12-01T13:53:38.781196+00:00
AMZN,2025-12-01,,,,,,,2025-12-01T13:53:38.781196+00:00
GOOGL,2025-12-01,,,,,,,2025-12-01T13:53:38.781196+00:00
META,2025-12-01,,,,,,,2025-12-01T13:53:38.781196+00:00
MSFT,2025-12-01,,,,,,,2025-12-01T13:53:38.781196+00:00
NVDA,2025-12-01,,,,,,,2025-12-01T13:53:38.781196+00:00
TSLA,2025-12-01,,,,,,,2025-12-01T13:53:38.781196+00:00
^IXIC,2025-12-01,,,,,,,2025-12-01T13:53:38.781196+00:00
^NDXE,2025-12-01,,,,,,,2025-12-01T13:53:38.781196+00:00
^VIX,2025-12-01,18.049999237060547,18.329999923706055,17.8700008392334,18.1200008392334,18.1200008392334,0,2025-12-01T13:53:38.781196+00:00
