ticker,date,open,high,low,close,adj_close,volume,fetched_at
AAPL,2025-12-04,284.0950012207031,284.7300109863281,278.5899963378906,280.70001220703125,280.70001220703125,42680947,2025-12-05T13:30:14.458663+00:00
AAPL,2025-12-05,,,,,,,2025-12-05T13:30:14.458663+00:00
AMZN,2025-12-04,232.77000427246094,233.5,226.8000030517578,229.11000061035156,229.11000061035156,43191853,2025-12-05T13:30:14.458663+00:00
AMZN,2025-12-05,,,,,,,2025-12-05T13:30:14.458663+00:00
GOOGL,2025-12-04,322.20001220703125,322.3599853515625,314.7117004394531,317.6199951171875,317.6199951171875,31121027,2025-12-05T13:30:14.458663+00:00
GOOGL,2025-12-05,,,,,,,2025-12-05T13:30:14.458663+00:00
META,2025-12-04,676.0399780273438,676.0999755859375,660.0499877929688,661.530029296875,661.530029296875,29723064,2025-12-05T13:30:14.458663+00:00
META,2025-12-05,,,,,,,2025-12-05T13:30:14.458663+00:00
MSFT,2025-12-04,479.5199890136719,481.3219909667969,476.489990234375,480.8399963378906,480.8399963378906,21899020,2025-12-05T13:30:14.458663+00:00
MSFT,2025-12-05,,,,,,,2025-12-05T13:30:14.458663+00:00
NVDA,2025-12-04,181.57000732421875,184.51499938964844,179.97000122070312,183.3800048828125,183.3800048828125,166479246,2025-12-05T13:30:14.458663+00:00
NVDA,2025-12-05,,,,,,,2025-12-05T13:30:14.458663+00:00
TSLA,2025-12-04,449.69000244140625,454.6300048828125,445.3900146484375,454.5299987792969,454.5299987792969,70859932,2025-12-05T13:30:14.458663+00:00
TSLA,2025-12-05,,,,,,,2025-12-05T13:30:14.458663+00:00
^IXIC,2025-12-04,23527.294921875,23528.52734375,23372.33203125,23505.13671875,23505.13671875,6560905000,2025-12-05T13:30:14.458663+00:00
^IXIC,2025-12-05,,,,,,,2025-12-05T13:30:14.458663+00:00
^NDX,2025-12-04,25658.138671875,25658.26953125,25450.380859375,25581.69921875,25581.69921875,1170178000,2025-12-05T13:30:14.458663+00:00
^NDX,2025-12-05,,,,,,,2025-12-05T13:30:14.458663+00:00
^NDXE,2025-12-04,8779.7548828125,8780.064453125,8718.49609375,8745.8857421875,8745.8857421875,0,2025-12-05T13:30:14.458663+00:00
^NDXE,2025-12-05,,,,,,,2025-12-05T13:30:14.458663+00:00
^VIX,2025-12-04,,,,,,,2025-12-05T13:30:14.458663+00:00
^VIX,2025-12-05,15.579999923706055,15.859999656677246,15.550000190734863,15.729999542236328,15.729999542236328,0,2025-12-05T13:30:14.458663+00:00
