ticker,date,open,high,low,close,adj_close,volume,fetched_at
AAPL,2025-12-09,278.1600036621094,280.0299987792969,276.9200134277344,277.17999267578125,277.17999267578125,31711233,2025-12-10T14:00:16.076407+00:00
AAPL,2025-12-10,,,,,,,2025-12-10T14:00:16.076407+00:00
AMZN,2025-12-09,226.68499755859375,228.57000732421875,225.11000061035156,227.9199981689453,227.9199981689453,23206041,2025-12-10T14:00:16.076407+00:00
AMZN,2025-12-10,,,,,,,2025-12-10T14:00:16.076407+00:00
GOOGL,2025-12-09,312.3699951171875,317.989990234375,311.8949890136719,317.0799865722656,317.0799865722656,30125542,2025-12-10T14:00:16.076407+00:00
GOOGL,2025-12-10,,,,,,,2025-12-10T14:00:16.076407+00:00
META,2025-12-09,663.7650146484375,664.47998046875,653.3400268554688,656.9600219726562,656.9600219726562,12937317,2025-12-10T14:00:16.076407+00:00
META,2025-12-10,,,,,,,2025-12-10T14:00:16.076407+00:00
MSFT,2025-12-09,489.3399963378906,492.1000061035156,488.5000915527344,492.0199890136719,492.0199890136719,14081114,2025-12-10T14:00:16.076407+00:00
MSFT,2025-12-10,,,,,,,2025-12-10T14:00:16.076407+00:00
NVDA,2025-12-09,185.55999755859375,185.71670532226562,183.32000732421875,184.97000122070312,184.97000122070312,142114605,2025-12-10T14:00:16.076407+00:00
NVDA,2025-12-10,,,,,,,2025-12-10T14:00:16.076407+00:00
TSLA,2025-12-09,437.6050109863281,452.3900146484375,435.70001220703125,445.1700134277344,445.1700134277344,60868108,2025-12-10T14:00:16.076407+00:00
TSLA,2025-12-10,,,,,,,2025-12-10T14:00:16.076407+00:00
^IXIC,2025-12-09,23504.61328125,23616.455078125,23449.73046875,23576.486328125,23576.486328125,6383666000,2025-12-10T14:00:16.076407+00:00
^IXIC,2025-12-10,,,,,,,2025-12-10T14:00:16.076407+00:00
^NDX,2025-12-09,25593.666015625,25698.26171875,25532.337890625,25668.6875,25668.6875,1045331000,2025-12-10T14:00:16.076407+00:00
^NDX,2025-12-10,,,,,,,2025-12-10T14:00:16.076407+00:00
^NDXE,2025-12-09,8734.9228515625,8760.4501953125,8725.177734375,8737.1103515625,8737.1103515625,0,2025-12-10T14:00:16.076407+00:00
^NDXE,2025-12-10,,,,,,,2025-12-10T14:00:16.076407+00:00
^VIX,2025-12-09,,,,,,,2025-12-10T14:00:16.076407+00:00
^VIX,2025-12-10,16.940000534057617,17.56999969482422,16.920000076293945,17.31999969482422,17.31999969482422,0,2025-12-10T14:00:16.076407+00:00
