ticker,date,open,high,low,close,adj_close,volume,fetched_at
AAPL,2025-12-05,280.5400085449219,281.1400146484375,278.04998779296875,278.7799987792969,278.7799987792969,45584026,2025-12-06T14:40:15.345665+00:00
AMZN,2025-12-05,230.3800048828125,231.24000549316406,228.5469970703125,229.52999877929688,229.52999877929688,31389664,2025-12-06T14:40:15.345665+00:00
GOOGL,2025-12-05,319.6675109863281,323.1600036621094,319.1650085449219,321.2699890136719,321.2699890136719,27751773,2025-12-06T14:40:15.345665+00:00
META,2025-12-05,664.5,674.6900024414062,662.4149780273438,673.4199829101562,673.4199829101562,20920800,2025-12-06T14:40:15.345665+00:00
MSFT,2025-12-05,482.5,483.3999938964844,478.8800964355469,483.1600036621094,483.1600036621094,22109742,2025-12-06T14:40:15.345665+00:00
NVDA,2025-12-05,183.86000061035156,184.66000366210938,180.91000366210938,182.41000366210938,182.41000366210938,142982463,2025-12-06T14:40:15.345665+00:00
TSLA,2025-12-05,452.9700012207031,458.8699951171875,451.6600036621094,455.0,455.0,56190168,2025-12-06T14:40:15.345665+00:00
^IXIC,2025-12-05,23567.76953125,23680.03125,23506.0,23578.12890625,23578.12890625,7359531000,2025-12-06T14:40:15.345665+00:00
^NDX,2025-12-05,25657.78125,25827.078125,25617.353515625,25692.05078125,25692.05078125,1353746000,2025-12-06T14:40:15.345665+00:00
^NDXE,2025-12-05,8774.3759765625,8847.3544921875,8774.3759765625,8791.5283203125,8791.5283203125,0,2025-12-06T14:40:15.345665+00:00
^VIX,2025-12-05,15.579999923706055,16.18000030517578,15.279999732971191,15.40999984741211,15.40999984741211,0,2025-12-06T14:40:15.345665+00:00
