Date,Fear_Greed,Mkt_sp500,Mkt_sp125,Stock_Strength,Stock_breadth,Put_Call,Volatility,Volatility_50,Safe_Haven,Junk_Bonds,fetched_at
2025-12-05,,,,,,0.6627816304548079,,,,,2025-12-09T13:00:12.841188+00:00
2025-12-08,31.1428571428571,6846.51,6513.41064,0.853068354216163,1060.13332116909,,16.66,18.4866,0.642161619305155,1.33847383146679,2025-12-09T13:00:12.841188+00:00
2025-12-08,31.1428571428571,6846.51,6513.41064,0.853068354216163,1060.13332116909,,16.66,18.4866,0.424680260564482,1.33847383146679,2025-12-09T13:00:12.841188+00:00
2025-12-08,31.1428571428571,6846.51,6513.41064,0.853068354216163,1060.13332116909,,16.66,18.4866,0.642161619305155,1.33847383146679,2025-12-09T13:00:12.841188+00:00
2025-12-08,31.1428571428571,6846.51,6513.41064,0.853068354216163,1060.13332116909,,16.66,18.4866,0.424680260564482,1.33847383146679,2025-12-09T13:00:12.841188+00:00
2025-12-08,31.1428571428571,6846.51,6513.41064,0.853068354216163,1060.13332116909,,16.66,18.4866,0.642161619305155,1.33847383146679,2025-12-09T13:00:12.841188+00:00
2025-12-08,31.1428571428571,6846.51,6513.41064,0.853068354216163,1060.13332116909,,16.66,18.4866,0.424680260564482,1.33847383146679,2025-12-09T13:00:12.841188+00:00
2025-12-08,31.1428571428571,6846.51,6513.41064,0.853068354216163,1060.13332116909,,16.66,18.4866,0.642161619305155,1.33847383146679,2025-12-09T13:00:12.841188+00:00
2025-12-08,31.1428571428571,6846.51,6513.41064,0.853068354216163,1060.13332116909,,16.66,18.4866,0.424680260564482,1.33847383146679,2025-12-09T13:00:12.841188+00:00
2025-12-09,31.1428571428571,,,0.803405726000808,1054.89469680771,,16.9,18.5022,,1.3384738314667899,2025-12-09T13:00:12.841188+00:00
2025-12-09,31.1428571428571,,,0.803405726000808,1054.89469680771,,16.9,18.5022,,1.3384738314667899,2025-12-09T13:00:12.841188+00:00
2025-12-09,31.1428571428571,,,0.803405726000808,1054.89469680771,,16.9,18.5022,,1.3384738314667899,2025-12-09T13:00:12.841188+00:00
2025-12-09,31.1428571428571,,,0.803405726000808,1054.89469680771,,16.9,18.5022,,1.3384738314667899,2025-12-09T13:00:12.841188+00:00
2025-12-09,31.1428571428571,,,0.803405726000808,1054.89469680771,,16.9,18.5022,,1.3384738314667899,2025-12-09T13:00:12.841188+00:00
2025-12-09,31.1428571428571,,,0.803405726000808,1054.89469680771,,16.9,18.5022,,1.3384738314667899,2025-12-09T13:00:12.841188+00:00
2025-12-09,31.1428571428571,,,0.803405726000808,1054.89469680771,,16.9,18.5022,,1.3384738314667899,2025-12-09T13:00:12.841188+00:00
2025-12-09,31.1428571428571,,,0.803405726000808,1054.89469680771,,16.9,18.5022,,1.3384738314667899,2025-12-09T13:00:12.841188+00:00
